ID,feature_vector
0,"{-0.8066369411680543,-0.347202377690083,-0.4555670729980223,-1.0513500195364371,0.0414418548227441,-0.1002841423629442,-0.7124914820901891,1.7266317095129984,0.0558728916300246,-0.0975712584207526}"
1,"{0.7205673769700853,-0.5994579884412032,-0.3484481361092837,1.623570096009129,-0.7082856591532323,0.5304277461127815,-2.116893904979099,1.7686274246903004,-1.259397569767689,0.8849431375772211}"
2,"{-0.9719358416416052,0.805925205410092,-1.377846801752894,2.091623024419167,-0.4162050262630105,0.8298348159006352,-0.5341783629196158,-0.689271799354534,-1.4611110321456648,-1.5790504210207246}"
3,"{0.5324403845252047,-0.7284815355647198,0.9361534074500169,1.120612713206141,0.4238900770273657,0.4391504140283228,-2.4513635130957177,0.1246808194391532,0.7651718495812232,-0.2993850788616381}"
4,"{-1.5413649900342827,-1.9515804079836705,-0.0717071263805219,-0.1810071650248979,1.308944236461738,1.1734027437981718,0.648276951162277,0.3196424657699821,0.6690251077385666,0.884845786653415}"
5,"{-0.2181688255146432,-0.3024873801741447,-1.750353423909384,-0.9955849557090584,-0.3401405425938206,0.9366919618996418,-0.6635734329099863,0.9980728378708996,-0.6535582853508815,-0.6637137781701189}"
6,"{-0.9676779168794332,-0.3619910132555559,-0.1138223298419245,0.5940186684092529,-2.2760785544922157,-0.0690047755473003,1.9788409827609117,-1.4592742759090107,-0.4507864228196396,0.4609461874533429}"
7,"{0.104601041233938,-1.2976235766221524,0.1383030855666939,0.0855292202218061,0.0676834864064327,-0.9250732821972396,1.773721013186675,1.1342370593478843,-0.7953721405554499,-0.5737337528146218}"
8,"{0.1682902763876253,0.1004518227860472,0.2328622781377301,-0.3769629500253171,-1.2830121068348792,1.2208051383002445,2.100859550227094,1.3892978290523212,1.0883070203115632,0.2718189810905919}"
9,"{-0.3076422345377052,-1.8330542994905443,-1.4630578768496136,1.2428967388025942,-0.1109203568626282,-0.4059994901639658,-0.0956193755064778,0.3076295584712669,-1.2897584231333394,-1.1352180888389989}"
10,"{0.4319013007719957,1.3379392305484308,0.7589298559057625,-0.0224097241785706,-0.8570294022479447,-0.0260117225195231,-0.5644068554433177,0.5902463783281137,1.3312703839310651,-2.4898335740201767}"
11,"{-0.7213990901407049,-0.3959340954630412,-0.0125444480752771,-0.1972612544060366,-0.3761048440190456,0.3788297727231013,1.72366192885348,0.9085518866057244,0.937786303735041,-0.6764857684835784}"
12,"{1.3559687042180542,0.4128895983935032,-1.2417024742985034,0.9485644182127756,0.3597213910530657,0.3864532988367083,-0.082285963035542,0.3555284048441224,3.0431241008866934,0.8980240542485592}"
13,"{1.0061923131399768,0.0685962510995936,-0.1426528452986945,-0.5922106353686926,-0.6381931749723859,0.1426288738988462,1.0499935444353954,0.6515417368711279,1.5232439817446752,0.7082053663671631}"
14,"{0.4276836528980512,1.7543573571724138,-1.6507800970953743,-0.0062071389099963,0.4365557209686312,-1.1311626123438232,-0.2660093457249527,-0.4322488617359723,-0.7547564805091973,1.381906740494775}"
15,"{0.953043539851918,-0.0804003799564925,-0.8347116863094687,-0.1372994265469352,0.0718097355842898,0.5207954546591461,1.380714260570283,-1.3074926984623754,0.3448346465804963,0.1233325717663882}"
16,"{-0.523796264124012,1.3192853317141595,-1.1900405268191274,-0.3339487295280464,1.123608761028625,-0.8208830102923508,-0.5663993014674922,0.2783819609672477,-0.8794166272835979,0.2890208556777129}"
17,"{0.5944945930019647,-0.031792342023819,0.8684203023793332,-0.5172136350631285,0.2087676894161249,-1.3575574222206377,-0.1474518814909416,0.4045915986286204,-1.0608243425890858,-0.1499923059860585}"
